Nexer Tech Talent AB,"Heltidsjob, Traineeprogram"
Norconsult Astando AB,"Heltidsjob, Deltidsjobb, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Nordnet Bank AB,"Heltidsjob, Sommarjobb, Examensarbeten"
Omegapoint,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
OMICRON,"Heltidsjob, Examensarbeten"
Oracle,"Heltidsjob, Examensarbeten"
Polismyndigheten,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Populum.io,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Prevas AB,"Heltidsjob, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Random Forest AB,"Heltidsjob, Examensarbeten, Traineeprogram"
Saab AB,"Heltidsjob, Sommarjobb, Examensarbeten"
Säkerhetspolisen,"Heltidsjob, Examensarbeten, Traineeprogram"
Sana Labs AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
SAVR AB,"Deltidsjobb, Internships/Praktik"
Scania CV,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Scila,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Sellpy,"Heltidsjob, Sommarjobb"
Sentor,"Heltidsjob, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Skatteverket,"Heltidsjob, Traineeprogram"
Söderberg & Partners,"Heltidsjob, Deltidsjobb"
SoftOne Sverige AB,"Heltidsjob, Deltidsjobb, Examensarbeten"
Softronic AB,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Sogeti,"Heltidsjob, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Sopra Steria,"Heltidsjob, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Storykit AB,"Heltidsjob, Sommarjobb, Examensarbeten"
Subset AB,"Heltidsjob, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
Svenska kraftnät,"Heltidsjob, Sommarjobb, Examensarbeten, Traineeprogram"
SVT,"Examensarbeten, Internships/Praktik"
Sweco Sverige AB,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
Swedbank,Heltidsjob
Syntronic,"Heltidsjob, Examensarbeten"
Tietoevry,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Tradera Marketplace AB,"Heltidsjob, Deltidsjobb, Examensarbeten, Internships/Praktik"
Trafikverket IKT,"Heltidsjob, Deltidsjobb, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Treasury Systems Sweden AB,"Heltidsjob, Sommarjobb, Examensarbeten"
UNIONEN,"Fackligt medlemsskap i UNIONEN som innehåller bl.a yrkesrådgivning, Lönerådgivning, CV granskning och mycket mer."
Valcon AB,"Heltidsjob, Deltidsjobb"
Vermiculus Financial Technology,"Heltidsjob, Sommarjobb, Examensarbeten"
Visma,"Heltidsjob, Sommarjobb, Examensarbeten, Internships/Praktik, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
XLENT AB,"Heltidsjob, Examensarbeten, Sociala event (t.ex. AW; workshops; hackathons)"
YABS,"Heltidsjob, Examensarbeten, Traineeprogram, Sociala event (t.ex. AW; workshops; hackathons)"
Zwapgrid AB,"Heltidsjob, Deltidsjobb, Internships/Praktik, Sociala event (t.ex. AW; workshops; hackathons)"
